audio-0.300-1.500|From behind my seat.
audio-1.300-5.500|I unloaded a grocery bag of chips and hamburger buns while he open the hatch.
audio-5.300-9.800|He wore long Madras shorts in a pine green polo shirt.
audio-9.600-13.700|And as I watched his movements the quick effortless way.
audio-13.500-15.500|He lifted the beer laid in cooler.
audio-15.300-20.700|I thought about how that easy strength of his it thrilled me once and how it didn't anymore.
audio-20.500-29.500|Hey, I looked up and there were rooster and stew striding down the Rocky Hill that divided the parking lot from the beach.
audio-30.300-32.800|Hey to you my called back.
audio-32.600-36.100|He cast me watch will glance and I put on a smile.
audio-36.800-43.700|Coming into the shade rooster pulled off his sunglasses and wiped his arm across his forehead the Sun and gotten to him already.
audio-43.500-47.000|His freckles cheeks were paying his nose a shade or two darker.
audio-46.800-53.400|It's perfect Eason warm little breeze and we got the pier.
audio-53.200-54.200|No problem.
audio-54.000-55.600|Great.
audio-55.400-61.000|Mike said You lock the car, and we headed for the helm who is Dusty already.
audio-60.800-68.100|It has been a dry spring and patches of Scruffy grass brushed against my ankles as I climbed at the top.
audio-67.900-74.300|I posed to look down at Jamie waving from the pier at the sweep of dazzling Blue Pine ter.
audio-75.000-89.400|I started toward the beach on the pier Bill and Christine sat side-by-side apparently together again their hips and thighs touching those hand rusting Loosely on Christine's knee falling like across the sand.
audio-89.200-95.300|I wanted nothing more than to sit like that with him until I remembered that was what I didn't want.
audio-96.200-100.900|Smooth I was in I had to remind myself if it's rules sometimes.
audio-102.100-109.300|Rooster had already started the fire and soon Jamie and Christine and I won wrapping the raw burgers and laying them out on a paper plate.
audio-109.100-115.700|Jamie was right beside me and in a quiet voice, she said What's up?
audio-116.600-119.100|I Shrugged my thing.
audio-119.800-121.500|She looked at me carefully.
audio-122.700-130.800|really nothing after we ate I took a second beer from a cooler and sat at the end of the pier to Ken was icy.
audio-130.600-140.500|Almost painful to hold but I held it anyway my feet just skimming the water which I noticed was lower than usual was not supposed to come up to my knees.
audio-140.300-145.600|I thought so, but I didn't think so very strongly and I know I didn't say so.
audio-146.400-147.400|Next thing.
audio-147.200-151.200|I knew Mike was standing over me casting a shadow on to me in the water.
audio-151.000-154.300|He prodded me once with this big tone announced.
audio-154.100-156.000|I'm going swimming.
audio-157.100-162.100|I could feel everyone looking at me roosters to Bill Christine.
audio-161.900-167.500|Even Jamie looking and thinking come on Carrie get the guy to break.
audio-168.400-174.600|I turned and looked at a strong hairy legs then up at his face, which was dark against the bright Sun.
audio-175.200-182.000|Heat strip to his swimming trunks and as he stood there waiting for me to say something rooster came over to stand beside him.
audio-182.700-191.100|Getting a little spare tire their bunny rooster said he copped Mike lightly migrant makes two of us, huh?
audio-190.900-194.800|Maybe we should start a diet Club the spare tire Spartans.
audio-194.600-197.100|What do you say they all left?
audio-196.900-206.800|The Spartans have been our high school mascot that we were a year out of college and still making Spartans joke seem to me to be a symptom of whatever it was.
audio-206.600-211.700|We all had whatever disease was that had us doing the exact same things.
audio-211.500-215.100|We'd always done and with the exact same people.
audio-215.800-223.300|I think I'll wait till after the holidays rooster said the holidays are six months away exactly.
audio-224.600-226.100|Now Mike looked at me.
audio-225.900-229.800|So what do you think you said should I die?
audio-230.700-232.000|Why don't you just jump?
audio-233.000-236.300|Later, I clung to that is evidence that I tried to stop him.
audio-236.100-237.900|But in fact, I was just being contrary.
audio-239.000-242.800|Dive rooster said definitely dive.
audio-243.600-246.800|Mike took off his baseball cap and held it out for me to take.
audio-247.500-249.100|What about your sunglasses?
audio-248.900-252.000|I said you dropped the cap on to the pier.
audio-251.800-253.700|They're coming.
audio-253.500-255.600|He said on a joyride.
audio-255.400-266.500|He looked at rooster and Sue and Bill with an endearing expression of amusement and Challenge on his face and for an intense moment then watching him with his friends.
audio-266.300-271.900|I long to feel again what I no longer felt that he was just what I wanted.
audio-272.700-274.000|You guys are wimps.
audio-273.800-278.500|He said I'll think of you when I hit that cool refreshing water.
audio-279.200-282.300|Everyone laughed again was Memorial Day.
audio-282.100-283.700|The water was freezing.
audio-284.600-292.500|Then somewhere on a reservoir a motorboat started up and we were still for a moment as we looked across the water to see if we could see it.
audio-293.100-300.700|I remember the sound so clearly the sound of the boat and also the feel of the icy cold beer can in my hand.
audio-301.500-311.600|I wish I'd done something to stop him then jumped up and said I'd marry him that day or burst into tears or held on tight with leg anything.
audio-312.300-314.000|But of course I didn't.
audio-314.600-318.500|I was already looking away one from across the water.
audio-318.300-321.600|There came the sound of the outboard revving higher.
audio-322.500-333.700|and then Mike Toth when something terrible happens to someone else people often use the word unbearable.
audio-334.600-340.700|Living through a child's death a spouse's in during some of their kind of permanent loss.
audio-340.500-341.700|It's unbearable.
audio-341.500-354.400|It's too awful to be born and the person or people to whom it's happened take on a kind of horrible glow in your mind because they are in fact bearing it or trying to doing the thing that it's impossible to do.
audio-355.400-368.800|The glow can be blinding at first it can be all you see and although it diminishes as years past that never goes out entirely so that late some night when you're wandering the back Pathways of your mind.
audio-368.600-374.800|You may stop at the sudden sight of someone up ahead signaling even now with the same but terrible light.
audio-375.600-391.200|Mike's accident happened to Mike not to me, but for a long time after what I felt some of that glow thought I was giving it off so that even doing the most innocuous Aaron filling my car with gas for buying toothpaste.
audio-391.000-395.800|I thought everyone around me must see I was in the middle of a crisis.
audio-396.700-398.000|Did I didn't cry?
audio-399.000-408.000|The first days at the hospital were full of crying Mike's parents crying his brother and sister and rooster maybe rooster most of all.
audio-408.700-418.100|Travis dry-eyed my mother and Jamie told me it was because I was numb and I guess that was part of it numb and terrified.
audio-418.800-425.500|When I looked at him, it was a few years had Unwound and I just met him and I couldn't stand not knowing what was going to happen.
audio-426.600-428.500|But there was something else too.
audio-429.400-434.600|Everyone was treating me so carefully and solicitously that I felt breakable.
audio-435.300-437.000|And yet I wasn't broken.
audio-438.000-444.500|Mike was broken and I wasn't broken he was separate for me and that was shocking.
audio-445.700-446.800|He was in a coma.
audio-447.800-455.400|Thanks for the combination of drought and a newly Bank of Shoreline the water and causing his Reservoir had been 3 feet lower than usual.
audio-455.200-459.500|If he woke up it would be to learn that he'd broken his neck.
audio-460.500-474.300|But he didn't wake up days went by and then it was a week 10 days and he was still unconscious lying in intensive care in a tiny room crowded with machines more than I ever would have imagined.
audio-475.100-493.500|He was in traction his shaven head held by tongues attached to weights and because he had to be turned onto his stomach every few hours to avoid bed sores his bed was a two-part contraption that allowed for this a pair of giant ironing board shape things that could sandwich him and flip him.
audio-494.300-505.100|Visiting hours were 3 p.m. To 8 p.m. 10 minutes per hour two people at a time, but it seemed we no sooner get in to see him in the nurses would ask us to leave.
audio-504.900-510.600|It was as if merely body now he belong to them.
audio-511.800-513.300|Near the nursing station.
audio-513.100-519.600|There was a small lounge and that's where we mostly were talking or not talking looking at each other or not.
audio-519.400-519.900|Looking.
audio-520.800-525.900|There would be five of us or 10 or 20 a core group of family and close friends.
audio-525.700-529.400|Plus Mike's co-workers stopping by after the Bank closed.
audio-529.200-533.700|The mayor's neighbors checking in my mother arrived in with bags of sandwiches.
audio-534.900-542.600|The two-week Mark came and when I woke that morning, I thought of something one of the doctors has said early on that each week.
audio-542.400-549.900|He was unconscious the prognosis got worse unresponsive was the word they used whenever I heard it.
audio-549.700-564.800|I thought of myself in the car on the way to clawson's Reservoir not answering his questions 2 weeks was only one day more than 13 days, but I felt we turned a corner that shouldn't have been turned and I couldn't get myself out of bed.
audio-565.800-567.300|He had to wake up.
audio-567.100-571.200|He had to I couldn't stand to think of what a bitch.
audio-571.000-573.700|I've been a cozzens reservoir with a bitch.
audio-573.500-576.900|I'll spring it was like a horrible equation.
audio-576.700-581.600|My bitchiness plus his fear of losing me equaled Mike in a coma.
audio-581.400-587.800|I knew as clearly as I knew anything that I driven him to dive to impress me.
audio-587.600-597.500|I squeeze my eyes shut and try to remember when everything between us have been fine, February January Christmas.
audio-598.400-599.700|It was June now.
audio-599.500-607.800|I had the day off work and it lasts I got up and made coffee then started laying out the pattern for an off-white linen jacket.
audio-607.600-620.700|I've been planning to make first Iron in the crumpled tissue and then moving pieces around on the length of fabric until I was satisfied I pin them and cut them out with my Fiskars and went back into the notches sniff by snip.
audio-620.500-625.400|I chopped the pattern marks on to the fabric and by late morning.
audio-625.200-635.500|I was sitting at my Bernina sewing machine winding a bobbin in trance by the fast were of it by the knowledge that for hours now, I'd be at the machine my foot on the pedal.
audio-636.500-644.600|I've been sewing for 11 years since my first home at class in junior high when I made an a-line skirt and falling in love.
audio-645.600-655.300|It was the inexorability of it that appealed to me how a length of fabric became a group of cut out pieces that gradually took on the shape of a garment.
audio-655.100-657.800|I loved everything about it.
audio-657.600-665.800|Even a little snip threads to be gathered and thrown away the smell of an overheated iron to scatter of pins at the end of the day.
audio-666.600-671.400|I loved how I got better and better closer and closer with each thing.
audio-671.200-673.300|I made to achieving just but I'd hoped.
audio-674.100-678.600|When the phone rang at 8:30 that evening the sound woke me from the work.
audio-678.400-680.500|It was mrs. Mayor.
